,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,passExprsCut,logFC,AveExpr,t,P.Value,adj.P.Val,B,region,type
ENSG00000168036.16,6614,ENSG00000168036.16,ENSG00000168036,protein_coding,CTNNB1,1499,InGen,43.14335886,15,"c(""ENST00000426215.5""; ""ENST00000405570.5""; ""ENST00000433400.5""; ""ENST00000431914.5""; ""ENST00000396183.7""; ""ENST00000349496.9""; ""ENST00000453024.5""; ""ENST00000396185.7""; ""ENST00000450969.5""; ""ENST00000441708.1""; ""ENST00000488914.1""; ""ENST00000465552.1""; ""ENST00000482042.1""; ""ENST00000485265.1""; ""ENST00000471014.1"")",TRUE,0.031683603,8.355458113,3.105535057,0.002051635,0.090315891,-2.269353128,DLPFC,gene
ENSG00000227398.3,4898,ENSG00000227398.3,ENSG00000227398,antisense,KIF9-AS1,NA,InGen,1.255141055,1,ENST00000429315.3,TRUE,0.063703999,2.899393744,3.191296157,0.001542269,0.081368005,-1.400647512,DLPFC,gene
ENSG00000185909.14,2158,ENSG00000185909.14,ENSG00000185909,protein_coding,KLHDC8B,200942,InGen,4.479486089,5,"c(""ENST00000332780.3""; ""ENST00000459846.6""; ""ENST00000476495.2""; ""ENST00000471811.1""; ""ENST00000462582.1"")",TRUE,0.075170316,3.505292225,3.530103844,0.000469909,0.048267519,-0.414904127,DLPFC,gene
ENSG00000241684.5,7232,ENSG00000241684.5,ENSG00000241684,antisense,ADAMTS9-AS2,NA,InGen,0.930440193,4,"c(""ENST00000460833.1""; ""ENST00000485174.5""; ""ENST00000474768.5""; ""ENST00000481312.1"")",TRUE,0.180558972,3.199252432,5.044883846,7.25E-07,0.001988977,5.601290624,DLPFC,gene
ENSG00000144744.16,4106,ENSG00000144744.16,ENSG00000144744,protein_coding,UBA3,9039,InGen,11.46295168,13,"c(""ENST00000415609.6""; ""ENST00000349511.8""; ""ENST00000361055.8""; ""ENST00000461934.5""; ""ENST00000465627.5""; ""ENST00000461522.1""; ""ENST00000630585.1""; ""ENST00000465108.5""; ""ENST00000493957.5""; ""ENST00000466763.5""; ""ENST00000631029.1""; ""ENST00000485424.1""; ""ENST00000464605.1"")",TRUE,-0.036630054,5.837463605,-3.724495217,0.000227454,0.035265431,-0.044822343,DLPFC,gene
ENSG00000187098.14,7193,ENSG00000187098.14,ENSG00000187098,protein_coding,MITF,4286,InGen,1.504387641,17,"c(""ENST00000352241.8""; ""ENST00000448226.6""; ""ENST00000461511.1""; ""ENST00000495741.1""; ""ENST00000429090.5""; ""ENST00000433517.5""; ""ENST00000472437.5""; ""ENST00000457080.5""; ""ENST00000328528.10""; ""ENST00000314589.9""; ""ENST00000451708.5""; ""ENST00000314557.10""; ""ENST00000394351.7""; ""ENST00000478490.5""; ""ENST00000394348.2""; ""ENST00000531774.1""; ""ENST00000461014.1"")",TRUE,-0.092533854,3.559094276,-3.212130105,0.00143761,0.079660055,-1.430530804,DLPFC,gene
ENSG00000170837.2,2447,ENSG00000170837.2,ENSG00000170837,protein_coding,GPR27,2850,InGen,6.971565802,1,ENST00000304411.2,TRUE,0.061665982,4.136522707,3.192449047,0.001536298,0.081368005,-1.586486189,DLPFC,gene
ENSG00000172986.12,3667,ENSG00000172986.12,ENSG00000172986,protein_coding,GXYLT2,727936,InGen,1.71024494,3,"c(""ENST00000389617.8""; ""ENST00000498315.1""; ""ENST00000491839.1"")",TRUE,0.095683591,2.98316728,3.719848466,0.000231519,0.035486669,0.297767784,DLPFC,gene
ENSG00000113805.8,5109,ENSG00000113805.8,ENSG00000113805,protein_coding,CNTN3,5067,InGen,10.83264037,2,"c(""ENST00000263665.6""; ""ENST00000477856.1"")",TRUE,0.074724712,6.039465511,3.50938184,0.000506748,0.050645067,-0.809578365,DLPFC,gene
ENSG00000080819.6,3666,ENSG00000080819.6,ENSG00000080819,protein_coding,CPOX,1371,InGen,7.332057882,5,"c(""ENST00000512905.5""; ""ENST00000264193.2""; ""ENST00000510489.1""; ""ENST00000513674.1""; ""ENST00000515041.1"")",TRUE,-0.073714217,5.057659109,-3.085928496,0.002188028,0.093440859,-2.039750679,DLPFC,gene
ENSG00000064225.12,6288,ENSG00000064225.12,ENSG00000064225,protein_coding,ST3GAL6,10402,InGen,2.946548306,28,"c(""ENST00000489112.5""; ""ENST00000265261.10""; ""ENST00000483910.5""; ""ENST00000460774.5""; ""ENST00000469105.5""; ""ENST00000466482.5""; ""ENST00000462152.5""; ""ENST00000486249.5""; ""ENST00000497008.5""; ""ENST00000486334.6""; ""ENST00000394162.5""; ""ENST00000613264.4""; ""ENST00000480133.1""; ""ENST00000497621.5""; ""ENST00000465004.1""; ""ENST00000476833.5""; ""ENST00000468553.5""; ""ENST00000490684.1""; ""ENST00000485391.5""; ""ENST00000495376.5""; ""ENST00000492254.5""; ""ENST00000477574.5""; ""ENST00000485145.1""; ""ENST00000474595.1""; 
""ENST00000477899.5""; ""ENST00000493953.1""; ""ENST00000491912.1""; ""ENST00000495502.1"")",TRUE,-0.060349156,4.537773,-3.471748473,0.000580656,0.052433483,-0.758928212,DLPFC,gene
ENSG00000182504.10,9550,ENSG00000182504.10,ENSG00000182504,protein_coding,CEP97,79598,InGen,7.730787702,6,"c(""ENST00000341893.7""; ""ENST00000489172.5""; ""ENST00000494050.5""; ""ENST00000465011.1""; ""ENST00000467655.1""; ""ENST00000462076.1"")",TRUE,-0.05024125,6.407000344,-4.017715225,7.17E-05,0.022099458,0.984714813,DLPFC,gene
ENSG00000144815.15,8635,ENSG00000144815.15,ENSG00000144815,protein_coding,NXPE3,91775,InGen,8.860279813,7,"c(""ENST00000495842.5""; ""ENST00000273347.9""; ""ENST00000474165.5""; ""ENST00000491511.6""; ""ENST00000487830.1""; ""ENST00000477909.5""; ""ENST00000616286.1"")",TRUE,-0.067509054,6.57587604,-3.452165237,0.000622991,0.052958528,-1.043840332,DLPFC,gene
ENSG00000144848.10,6111,ENSG00000144848.10,ENSG00000144848,protein_coding,ATG3,64422,InGen,4.34376396,9,"c(""ENST00000283290.9""; ""ENST00000402314.6""; ""ENST00000494571.1""; ""ENST00000495756.5""; ""ENST00000467275.1""; ""ENST00000496423.1""; ""ENST00000492886.5""; ""ENST00000465980.1""; ""ENST00000488910.1"")",TRUE,-0.041486374,5.019413418,-3.240919956,0.001303778,0.075803628,-1.562807068,DLPFC,gene
ENSG00000114573.9,5130,ENSG00000114573.9,ENSG00000114573,protein_coding,ATP6V1A,523,InGen,74.77176094,6,"c(""ENST00000273398.7""; ""ENST00000462855.1""; ""ENST00000470455.5""; ""ENST00000496747.5""; ""ENST00000475322.1""; ""ENST00000461496.1"")",TRUE,-0.027422511,8.959971174,-3.085534899,0.002190849,0.093440859,-2.36832778,DLPFC,gene
ENSG00000163389.10,7097,ENSG00000163389.10,ENSG00000163389,protein_coding,POGLUT1,56983,InGen,2.257001989,8,"c(""ENST00000295588.8""; ""ENST00000476573.5""; ""ENST00000497447.5""; ""ENST00000486607.5""; ""ENST00000390401.2""; ""ENST00000460339.1""; ""ENST00000481043.1""; ""ENST00000473648.1"")",TRUE,-0.081991497,4.277531205,-4.713508351,3.50E-06,0.004265893,4.038770739,DLPFC,gene
ENSG00000144843.11,4615,ENSG00000144843.11,ENSG00000144843,protein_coding,ADPRH,141,InGen,0.445361983,7,"c(""ENST00000478399.5""; ""ENST00000481816.5""; ""ENST00000471850.1""; ""ENST00000485496.1""; ""ENST00000478927.5""; ""ENST00000357003.7""; ""ENST00000465513.1"")",TRUE,-0.132373138,0.858966982,-3.071383514,0.002294549,0.095873273,-1.554447783,DLPFC,gene
ENSG00000180353.10,5093,ENSG00000180353.10,ENSG00000180353,protein_coding,HCLS1,3059,InGen,1.381714282,12,"c(""ENST00000314583.7""; ""ENST00000473883.5""; ""ENST00000428394.6""; ""ENST00000495491.5""; ""ENST00000464274.5""; ""ENST00000487290.5""; ""ENST00000481314.5""; ""ENST00000497391.5""; ""ENST00000488033.5""; ""ENST00000468693.5""; ""ENST00000491824.1""; ""ENST00000479994.1"")",TRUE,-0.199195085,2.653151537,-3.278127088,0.001147905,0.071534893,-1.103051311,DLPFC,gene
ENSG00000172771.11,7789,ENSG00000172771.11,ENSG00000172771,protein_coding,EFCAB12,90288,InGen,0.366166991,5,"c(""ENST00000505956.5""; ""ENST00000514900.5""; ""ENST00000326085.7""; ""ENST00000503498.1""; ""ENST00000503957.1"")",TRUE,0.130610167,1.077309753,3.630428813,0.000324415,0.04011692,0.103477108,DLPFC,gene
ENSG00000198585.11,7029,ENSG00000198585.11,ENSG00000198585,protein_coding,NUDT16,131870,InGen,8.335099734,3,"c(""ENST00000537561.5""; ""ENST00000521288.1""; ""ENST00000502852.1"")",TRUE,0.047075802,6.279691197,3.162495824,0.001698576,0.08375541,-1.942593187,DLPFC,gene
ENSG00000244062.1,1917,ENSG00000244062.1,ENSG00000244062,processed_pseudogene,,NA,InGen,5.049545033,1,ENST00000474389.1,TRUE,-0.25207495,3.134099123,-3.112932534,0.002002242,0.089820738,-1.668650648,DLPFC,gene
ENSG00000181631.6,2764,ENSG00000181631.6,ENSG00000181631,protein_coding,P2RY13,53829,InGen,1.954226729,1,ENST00000325602.5,TRUE,-0.287153262,1.987521675,-3.371375363,0.000830001,0.060896385,-0.748169907,DLPFC,gene
ENSG00000169313.9,1859,ENSG00000169313.9,ENSG00000169313,protein_coding,P2RY12,64805,InGen,11.32070991,2,"c(""ENST00000302632.3""; ""ENST00000468596.1"")",TRUE,-0.26699073,3.968922661,-3.135203603,0.001860079,0.087176196,-1.733144717,DLPFC,gene
ENSG00000163577.7,5593,ENSG00000163577.7,ENSG00000163577,protein_coding,EIF5A2,56648,InGen,4.194231733,5,"c(""ENST00000295822.6""; ""ENST00000460117.5""; ""ENST00000487522.5""; ""ENST00000474096.5""; ""ENST00000474417.1"")",TRUE,-0.062315487,5.167227983,-3.228377849,0.001360595,0.077462782,-1.619503144,DLPFC,gene
ENSG00000244405.7,5802,ENSG00000244405.7,ENSG00000244405,protein_coding,ETV5,2119,InGen,10.71888992,14,"c(""ENST00000306376.9""; ""ENST00000434744.5""; ""ENST00000480706.1""; ""ENST00000433149.1""; ""ENST00000489830.5""; ""ENST00000484223.1""; ""ENST00000472868.6""; ""ENST00000440773.5""; ""ENST00000421809.5""; ""ENST00000413301.5""; ""ENST00000422039.1""; ""ENST00000476890.1""; ""ENST00000475484.1""; ""ENST00000495808.1"")",TRUE,-0.12775036,6.289874993,-3.44396373,0.000641563,0.053978918,-1.042627766,DLPFC,gene
ENSG00000277118.1,286,ENSG00000277118.1,ENSG00000277118,misc_RNA,,NA,InGen,1.860138384,1,ENST00000619409.1,TRUE,-0.366076515,-0.584237085,-4.832425127,2.01E-06,0.002912282,3.85279789,DLPFC,gene
ENSG00000156976.15,6133,ENSG00000156976.15,ENSG00000156976,protein_coding,EIF4A2,1974,InGen,90.65931813,28,"c(""ENST00000441007.5""; ""ENST00000445596.5""; ""ENST00000323963.9""; ""ENST00000426808.5""; ""ENST00000465222.1""; ""ENST00000491473.5""; ""ENST00000486805.5""; ""ENST00000465032.5""; ""ENST00000465267.5""; ""ENST00000495049.5""; ""ENST00000429589.5""; ""ENST00000425053.5""; ""ENST00000440191.6""; ""ENST00000485101.5""; ""ENST00000475653.5""; ""ENST00000443963.5""; ""ENST00000498746.1""; ""ENST00000467585.1""; ""ENST00000466362.1""; ""ENST00000468362.5""; ""ENST00000492144.5""; ""ENST00000465792.1""; ""ENST00000475409.1""; ""ENST00000497177.1""; 
""ENST00000629190.1""; ""ENST00000494445.1""; ""ENST00000461021.1""; ""ENST00000496382.1"")",TRUE,-0.028572401,9.550236469,-3.109381694,0.002025813,0.089820738,-2.33547533,DLPFC,gene
ENSG00000073849.14,9151,ENSG00000073849.14,ENSG00000073849,protein_coding,ST6GAL1,6480,InGen,4.959476883,22,"c(""ENST00000169298.7""; ""ENST00000463542.1""; ""ENST00000487031.5""; ""ENST00000457772.6""; ""ENST00000455441.5""; ""ENST00000427315.5""; ""ENST00000468614.1""; ""ENST00000458216.5""; ""ENST00000430309.5""; ""ENST00000417392.5""; ""ENST00000438590.5""; ""ENST00000448408.5""; ""ENST00000485105.1""; ""ENST00000440338.5""; ""ENST00000448044.5""; ""ENST00000416235.5""; ""ENST00000423451.5""; ""ENST00000446170.1""; ""ENST00000448449.1""; ""ENST00000464827.1""; ""ENST00000442023.1""; ""ENST00000470633.1"")",TRUE,-0.103036671,5.628024413,-3.755458643,0.000202037,0.034278814,0.085295815,DLPFC,gene
ENSG00000152492.13,9202,ENSG00000152492.13,ENSG00000152492,protein_coding,CCDC50,152137,InGen,7.911186077,3,"c(""ENST00000392455.7""; ""ENST00000392456.3""; ""ENST00000460064.1"")",TRUE,-0.071959668,6.169528033,-4.601764131,5.83E-06,0.005136564,3.372045606,DLPFC,gene
ENSG00000168993.14,2418,ENSG00000168993.14,ENSG00000168993,protein_coding,CPLX1,10815,InGen,12.53949961,4,"c(""ENST00000304062.10""; ""ENST00000505203.1""; ""ENST00000506404.1""; ""ENST00000504062.1"")",TRUE,-0.092450169,5.496131174,-3.074010804,0.002274962,0.095378165,-2.125954473,DLPFC,gene
ENSG00000159733.13,9624,ENSG00000159733.13,ENSG00000159733,protein_coding,ZFYVE28,57732,InGen,2.35956429,11,"c(""ENST00000508471.5""; ""ENST00000290974.6""; ""ENST00000511071.5""; ""ENST00000515312.5""; ""ENST00000514248.1""; ""ENST00000515169.5""; ""ENST00000509171.5""; ""ENST00000503000.1""; ""ENST00000508184.5""; ""ENST00000504743.1""; ""ENST00000505421.1"")",TRUE,0.058615955,4.902120928,3.057034291,0.002404293,0.097199,-2.109775635,DLPFC,gene
ENSG00000188981.10,7553,ENSG00000188981.10,ENSG00000188981,protein_coding,MSANTD1,345222,InGen,0.688107445,4,"c(""ENST00000507492.5""; ""ENST00000438480.6""; ""ENST00000505599.5""; ""ENST00000510580.1"")",TRUE,0.075612109,2.512959166,3.114418871,0.001992451,0.089820738,-1.573429431,DLPFC,gene
ENSG00000250986.1,4525,ENSG00000250986.1,ENSG00000250986,lincRNA,,NA,InGen,0.860639245,1,ENST00000511928.1,TRUE,0.110603094,2.062278931,3.242495492,0.001296798,0.075803628,-1.1445263,DLPFC,gene
ENSG00000250476.1,627,ENSG00000250476.1,ENSG00000250476,processed_pseudogene,ENPP7P9,NA,InGen,0.38746206,1,ENST00000514456.1,TRUE,0.318841036,-1.758685664,3.577265934,0.00039521,0.044057714,-0.609684337,DLPFC,gene
ENSG00000170846.16,2597,ENSG00000170846.16,ENSG00000170846,lincRNA,,NA,InGen,6.19060845,3,"c(""ENST00000307533.10""; ""ENST00000635031.1""; ""ENST00000444232.3"")",TRUE,0.050537488,4.22374358,3.059807161,0.002382717,0.097199,-1.995298993,DLPFC,gene
ENSG00000071127.16,7827,ENSG00000071127.16,ENSG00000071127,protein_coding,WDR1,9948,InGen,9.286918076,18,"c(""ENST00000499869.6""; ""ENST00000382451.6""; ""ENST00000382452.6""; ""ENST00000515743.5""; ""ENST00000502702.5""; ""ENST00000502962.5""; ""ENST00000506246.5""; ""ENST00000504739.5""; ""ENST00000508949.5""; ""ENST00000505543.5""; ""ENST00000510848.5""; ""ENST00000509695.1""; ""ENST00000508079.1""; ""ENST00000264785.11""; ""ENST00000505851.5""; ""ENST00000514319.5""; ""ENST00000515018.1""; ""ENST00000509600.1"")",TRUE,0.050610136,5.953923414,3.751676486,0.000204992,0.034278814,0.038058906,DLPFC,gene
ENSG00000174125.7,4535,ENSG00000174125.7,ENSG00000174125,protein_coding,TLR1,7096,InGen,1.116269166,10,"c(""ENST00000510552.1""; ""ENST00000505744.5""; ""ENST00000308979.6""; ""ENST00000502213.6""; ""ENST00000505940.1""; ""ENST00000515861.5""; ""ENST00000506146.5""; ""ENST00000508364.1""; ""ENST00000509754.5""; ""ENST00000508535.1"")",TRUE,-0.168540901,2.236914458,-3.151564011,0.001761644,0.085153051,-1.429995043,DLPFC,gene
ENSG00000121895.7,2562,ENSG00000121895.7,ENSG00000121895,protein_coding,TMEM156,80008,InGen,0.472867644,4,"c(""ENST00000381938.3""; ""ENST00000344606.6""; ""ENST00000372489.2""; ""ENST00000495029.1"")",TRUE,-0.265045796,-0.047390994,-3.38347333,0.000795378,0.060704792,-0.718618099,DLPFC,gene
ENSG00000078177.13,9835,ENSG00000078177.13,ENSG00000078177,protein_coding,N4BP2,55728,InGen,3.475333429,4,"c(""ENST00000261435.10""; ""ENST00000511480.5""; ""ENST00000515550.1""; ""ENST00000513269.1"")",TRUE,0.097617746,4.78139208,4.485217502,9.84E-06,0.006930797,3.002567594,DLPFC,gene
ENSG00000249330.1,549,ENSG00000249330.1,ENSG00000249330,antisense,,NA,InGen,0.540163044,1,ENST00000502455.1,TRUE,0.26268616,-1.637811158,3.50345194,0.000517778,0.050645067,-0.759499746,DLPFC,gene
ENSG00000135605.12,4030,ENSG00000135605.12,ENSG00000135605,protein_coding,TEC,7006,InGen,0.454876685,5,"c(""ENST00000381501.7""; ""ENST00000505452.5""; ""ENST00000515146.1""; ""ENST00000511150.1""; ""ENST00000511471.2"")",TRUE,0.140961227,1.360054221,3.257350939,0.00123267,0.074116522,-1.049674033,DLPFC,gene
ENSG00000150471.16,13991,ENSG00000150471.16,ENSG00000150471,protein_coding,ADGRL3,23284,InGen,18.06842431,18,"c(""ENST00000512091.6""; ""ENST00000509779.5""; ""ENST00000514591.5""; ""ENST00000506700.5""; ""ENST00000509896.5""; ""ENST00000511324.5""; ""ENST00000507164.5""; ""ENST00000508693.5""; ""ENST00000507625.5""; ""ENST00000504896.5""; ""ENST00000514157.5""; ""ENST00000506720.5""; ""ENST00000506746.5""; ""ENST00000508946.5""; ""ENST00000514996.5""; ""ENST00000509089.1""; ""ENST00000502815.1""; ""ENST00000508078.1"")",TRUE,0.031896673,8.244260779,3.201057232,0.001492387,0.080960085,-1.971074804,DLPFC,gene
ENSG00000138756.17,9938,ENSG00000138756.17,ENSG00000138756,protein_coding,BMP2K,55589,InGen,6.276096469,8,"c(""ENST00000389010.7""; ""ENST00000502871.5""; ""ENST00000335016.9""; ""ENST00000628286.1""; ""ENST00000505725.1""; ""ENST00000515075.1""; ""ENST00000502613.1""; ""ENST00000507670.1"")",TRUE,-0.057464549,6.08425469,-3.455157374,0.000616341,0.052958528,-0.993039997,DLPFC,gene
ENSG00000152795.17,5476,ENSG00000152795.17,ENSG00000152795,protein_coding,HNRNPDL,9987,InGen,43.42499528,10,"c(""ENST00000295470.9""; ""ENST00000614627.4""; ""ENST00000621267.4""; ""ENST00000507721.5""; ""ENST00000602300.5""; ""ENST00000349655.8""; ""ENST00000502762.4""; ""ENST00000630114.2""; ""ENST00000630827.1""; ""ENST00000514511.1"")",TRUE,-0.039455731,8.161574935,-3.371796081,0.000828774,0.060896385,-1.422443251,DLPFC,gene
ENSG00000249242.7,3671,ENSG00000249242.7,ENSG00000249242,protein_coding,TMEM150C,441027,InGen,9.977907908,4,"c(""ENST00000515780.6""; ""ENST00000449862.6""; ""ENST00000508701.5""; ""ENST00000454948.3"")",TRUE,0.051316897,5.462672886,3.508277207,0.000508786,0.050645067,-0.75237582,DLPFC,gene
ENSG00000138678.10,3468,ENSG00000138678.10,ENSG00000138678,protein_coding,GPAT3,84803,InGen,0.920851322,8,"c(""ENST00000514309.5""; ""ENST00000611707.4""; ""ENST00000506766.5""; ""ENST00000395226.6""; ""ENST00000509412.1""; ""ENST00000264409.4""; ""ENST00000513683.1""; ""ENST00000509044.1"")",TRUE,-0.180823386,2.066788583,-4.385417487,1.53E-05,0.008958474,2.81658702,DLPFC,gene
ENSG00000273389.1,440,ENSG00000273389.1,ENSG00000273389,antisense,,NA,InGen,6.440260754,1,ENST00000610225.1,TRUE,-0.131711704,2.051411617,-3.476165954,0.000571486,0.052178793,-0.42266965,DLPFC,gene
ENSG00000170509.11,2397,ENSG00000170509.11,ENSG00000170509,protein_coding,HSD17B13,345275,InGen,0.293803009,2,"c(""ENST00000302219.10""; ""ENST00000328546.4"")",TRUE,0.196737997,-0.109955317,3.174087821,0.001633982,0.082548759,-1.294056312,DLPFC,gene
ENSG00000118785.13,2321,ENSG00000118785.13,ENSG00000118785,protein_coding,SPP1,6696,InGen,65.90122811,11,"c(""ENST00000614857.4""; ""ENST00000237623.11""; ""ENST00000395080.7""; ""ENST00000504310.5""; ""ENST00000513981.5""; ""ENST00000509334.5""; ""ENST00000508233.5""; ""ENST00000360804.4""; ""ENST00000509659.5""; ""ENST00000508002.5""; ""ENST00000505146.1"")",TRUE,-0.25014185,6.734500904,-3.07488473,0.002268481,0.095302499,-2.241400752,DLPFC,gene
ENSG00000109320.11,6257,ENSG00000109320.11,ENSG00000109320,protein_coding,NFKB1,4790,InGen,2.932588239,12,"c(""ENST00000226574.8""; ""ENST00000394820.8""; ""ENST00000511926.5""; ""ENST00000507079.5""; ""ENST00000505458.5""; ""ENST00000509165.1""; ""ENST00000513803.5""; ""ENST00000502367.1""; ""ENST00000510638.1""; ""ENST00000600343.5""; ""ENST00000508584.1""; ""ENST00000504044.1"")",TRUE,-0.053502977,4.484261794,-3.639147197,0.00031401,0.04011692,-0.187552223,DLPFC,gene
ENSG00000164023.14,7635,ENSG00000164023.14,ENSG00000164023,protein_coding,SGMS2,166929,InGen,0.838528124,9,"c(""ENST00000506462.5""; ""ENST00000394684.8""; ""ENST00000515332.5""; ""ENST00000503862.5""; ""ENST00000359079.8""; ""ENST00000506993.1""; ""ENST00000394686.3""; ""ENST00000503385.1""; ""ENST00000504754.1"")",TRUE,0.112821784,1.965939247,3.344213833,0.000912913,0.063935037,-0.827932685,DLPFC,gene
ENSG00000164112.12,3024,ENSG00000164112.12,ENSG00000164112,protein_coding,TMEM155,132332,InGen,10.22723047,8,"c(""ENST00000394396.5""; ""ENST00000461198.5""; ""ENST00000337677.9""; ""ENST00000394394.5""; ""ENST00000513254.5""; ""ENST00000514885.5""; ""ENST00000505198.5""; ""ENST00000506551.2"")",TRUE,-0.082455762,5.630375056,-3.856399078,0.000136538,0.028768605,0.456913459,DLPFC,gene
ENSG00000164066.12,16066,ENSG00000164066.12,ENSG00000164066,protein_coding,INTU,27152,InGen,4.804512336,8,"c(""ENST00000504491.1""; ""ENST00000335251.10""; ""ENST00000503626.5""; ""ENST00000503952.5""; ""ENST00000504276.1""; ""ENST00000506283.1""; ""ENST00000512995.1""; ""ENST00000510766.1"")",TRUE,0.064755179,6.328979221,4.023299116,7.01E-05,0.022099458,1.007895387,DLPFC,gene
ENSG00000151470.12,7015,ENSG00000151470.12,ENSG00000151470,protein_coding,C4orf33,132321,InGen,1.701695164,6,"c(""ENST00000281146.9""; ""ENST00000502887.5""; ""ENST00000502360.5""; ""ENST00000425929.5""; ""ENST00000508673.5""; ""ENST00000508622.1"")",TRUE,-0.073244185,3.963385988,-3.488490949,0.000546611,0.051314425,-0.616903448,DLPFC,gene
ENSG00000151612.15,8433,ENSG00000151612.15,ENSG00000151612,protein_coding,ZNF827,152485,InGen,4.402690413,10,"c(""ENST00000508784.5""; ""ENST00000513320.5""; ""ENST00000379448.8""; ""ENST00000503462.1""; ""ENST00000511659.1""; ""ENST00000515386.1""; ""ENST00000509940.1""; ""ENST00000511534.1""; ""ENST00000508995.1""; ""ENST00000513840.1"")",TRUE,0.045570645,5.545275767,3.54464844,0.000445567,0.046940724,-0.644054074,DLPFC,gene
ENSG00000250604.1,365,ENSG00000250604.1,ENSG00000250604,antisense,,NA,InGen,0.569466798,1,ENST00000513067.1,TRUE,-0.384091274,-2.441275028,-3.218049075,0.001409098,0.07930841,-1.701746301,DLPFC,gene
ENSG00000109472.13,2958,ENSG00000109472.13,ENSG00000109472,protein_coding,CPE,1363,InGen,235.7252668,5,"c(""ENST00000513982.5""; ""ENST00000402744.8""; ""ENST00000480404.1""; ""ENST00000431967.5""; ""ENST00000511992.1"")",TRUE,0.042208081,9.631965804,3.195039466,0.00152296,0.081368005,-2.080471057,DLPFC,gene
ENSG00000251165.5,2683,ENSG00000251165.5,ENSG00000251165,antisense,F11-AS1,285441,InGen,0.280466084,4,"c(""ENST00000505103.5""; ""ENST00000510172.5""; ""ENST00000508110.5""; ""ENST00000508287.1"")",TRUE,0.208623922,0.027985881,3.253258296,0.001250037,0.074782943,-1.069978114,DLPFC,gene
ENSG00000215218.3,4317,ENSG00000215218.3,ENSG00000215218,protein_coding,UBE2QL1,134111,InGen,15.13985645,1,ENST00000399816.3,TRUE,-0.055770072,6.275795436,-3.046528556,0.002487678,0.098279236,-2.285276407,DLPFC,gene
ENSG00000145545.11,7715,ENSG00000145545.11,ENSG00000145545,protein_coding,SRD5A1,6715,InGen,5.987227969,4,"c(""ENST00000274192.6""; ""ENST00000510531.5""; ""ENST00000513117.1""; ""ENST00000504286.1"")",TRUE,-0.053958225,5.647410241,-3.615183539,0.000343392,0.040367706,-0.407668116,DLPFC,gene
ENSG00000078295.16,17538,ENSG00000078295.16,ENSG00000078295,protein_coding,ADCY2,108,InGen,8.635639684,8,"c(""ENST00000338316.8""; ""ENST00000484965.5""; ""ENST00000498598.1""; ""ENST00000515681.1""; ""ENST00000513693.1""; ""ENST00000493243.5""; ""ENST00000382531.7""; ""ENST00000489501.1"")",TRUE,0.063644983,7.649785105,4.448794413,1.16E-05,0.007499718,2.619188548,DLPFC,gene
ENSG00000039139.9,16475,ENSG00000039139.9,ENSG00000039139,protein_coding,DNAH5,1767,InGen,0.87569925,4,"c(""ENST00000265104.4""; ""ENST00000504001.3""; ""ENST00000512443.1""; ""ENST00000508040.1"")",TRUE,0.132497336,3.338242626,3.703533985,0.00024634,0.036363939,0.195486068,DLPFC,gene
ENSG00000176788.8,2217,ENSG00000176788.8,ENSG00000176788,protein_coding,BASP1,10409,InGen,82.5522037,3,"c(""ENST00000606445.1""; ""ENST00000616743.1""; ""ENST00000322611.3"")",TRUE,-0.054198843,7.674884051,-3.281425204,0.001134958,0.071319153,-1.678206292,DLPFC,gene
ENSG00000150712.10,5545,ENSG00000150712.10,ENSG00000150712,protein_coding,MTMR12,54545,InGen,8.610180548,7,"c(""ENST00000280285.9""; ""ENST00000382142.7""; ""ENST00000264934.5""; ""ENST00000510216.1""; ""ENST00000504049.1""; ""ENST00000505419.5""; ""ENST00000513622.1"")",TRUE,0.042721979,5.917061067,3.42217682,0.000693443,0.05627313,-1.087740322,DLPFC,gene
ENSG00000241829.1,464,ENSG00000241829.1,ENSG00000241829,processed_pseudogene,RPL21P54,NA,InGen,1.107145765,1,ENST00000497178.1,TRUE,0.202194612,-1.335515864,3.399226631,0.000752309,0.058875928,-0.925580891,DLPFC,gene
ENSG00000113594.9,11864,ENSG00000113594.9,ENSG00000113594,protein_coding,LIFR,3977,InGen,18.42244038,9,"c(""ENST00000263409.8""; ""ENST00000453190.6""; ""ENST00000508477.5""; ""ENST00000506003.5""; ""ENST00000503088.1""; ""ENST00000506990.5""; ""ENST00000512723.1""; ""ENST00000511561.1""; ""ENST00000507786.1"")",TRUE,-0.059171341,8.065240748,-3.213422266,0.00143134,0.07965101,-1.920580412,DLPFC,gene
ENSG00000112964.13,6610,ENSG00000112964.13,ENSG00000112964,protein_coding,GHR,2690,InGen,0.938554212,13,"c(""ENST00000230882.8""; ""ENST00000615111.4""; ""ENST00000620156.4""; ""ENST00000513671.5""; ""ENST00000505006.1""; ""ENST00000618088.4""; ""ENST00000612382.4""; ""ENST00000612626.4""; ""ENST00000537449.5""; ""ENST00000511135.5""; ""ENST00000357703.6""; ""ENST00000622294.2""; ""ENST00000513625.1"")",TRUE,0.124673923,2.762795936,3.98556447,8.17E-05,0.022099458,1.265587,DLPFC,gene
