Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Autism Spectrum Disorders,C1510586,SOX3,6658,P41225,SRY-box transcription factor 3,Transcription factor,151,0.535,0.731,0.44948,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,DST,667,Q03001,dystonin,Cellular structure,147,0.552,0.846,1,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,SPAST,6683,Q9UBP0,spastin,Cellular structure,138,0.579,0.577,0.99939,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,SPINT1,6692,O43278,"serine peptidase inhibitor, Kunitz type 1",,96,0.57,0.577,0.000010175,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,SPN,6693,P16150,sialophorin,,101,0.563,0.692,0.014408,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,BRCA1,672,P38398,BRCA1 DNA repair associated,Enzyme,747,0.367,0.923,9.2157E-29,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,SRF,6722,P11831,serum response factor,Transcription factor,147,0.534,0.808,0.97545,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,SRY,6736,Q05066,sex determining region Y,Transcription factor,315,0.456,0.808,,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,SSTR4,6754,P31391,somatostatin receptor 4,G-protein coupled receptor,273,0.469,0.846,3.6978E-13,0.01,,1,1,1,2017,2017
Autism Spectrum Disorders,C1510586,ST14,6768,Q9Y5Y6,suppression of tumorigenicity 14,Enzyme,170,0.514,0.769,0.56042,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,STAT5A,6776,P42229,signal transducer and activator of transcription 5A,Nucleic acid binding,318,0.445,0.808,0.99994,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,STAT5B,6777,P51692,signal transducer and activator of transcription 5B,Nucleic acid binding,357,0.442,0.808,0.99988,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,BRS3,680,P32247,bombesin receptor subtype 3,G-protein coupled receptor,261,0.474,0.846,0.94849,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,TAL1,6886,P17542,"TAL bHLH transcription factor 1, erythroid differentiation factor",Transcription factor,202,0.505,0.731,0.5659,0.01,,0,1,0,2019,2019
Autism Spectrum Disorders,C1510586,CNTN2,6900,Q02246,contactin 2,Receptor,99,0.581,0.692,0.0021095,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,TAZ,6901,Q16635,tafazzin,Enzyme,252,0.477,0.808,0.72591,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,HNF1B,6928,P35680,HNF1 homeobox B,Nucleic acid binding,279,0.473,0.808,0.99976,0.01,,1,1,0,2010,2010
Autism Spectrum Disorders,C1510586,TCN2,6948,P20062,transcobalamin 2,,104,0.578,0.615,1.0478E-06,0.01,,1,1,1,2018,2018
Autism Spectrum Disorders,C1510586,BUB1,699,O43683,BUB1 mitotic checkpoint serine/threonine kinase,Kinase,162,0.528,0.731,4.8813E-09,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,ACTC1,70,P68032,actin alpha cardiac muscle 1,Cellular structure,69,0.61,0.538,0.73668,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,PRDX2,7001,P32119,peroxiredoxin 2,Enzyme,243,0.474,0.885,0.086513,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,TERF1,7013,P54274,telomeric repeat binding factor 1,,102,0.563,0.692,0.90655,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,TGFB2,7042,P61812,transforming growth factor beta 2,Signaling,389,0.433,0.885,0.99905,0.01,,0,1,0,2019,2019
Autism Spectrum Disorders,C1510586,TGM2,7052,P21980,transglutaminase 2,Enzyme,315,0.445,0.808,6.8118E-18,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,THAS,7055,,thoracoabdominal syndrome,,120,0.56,0.808,,0.01,,1,1,0,2008,2008
Autism Spectrum Disorders,C1510586,THBS1,7057,P07996,thrombospondin 1,,480,0.407,0.885,0.99985,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,TSPO,706,P30536,translocator protein,,341,0.444,0.885,0.00027398,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,THRB,7068,P10828,thyroid hormone receptor beta,Nuclear receptor,142,0.554,0.769,0.99676,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,TIMP4,7079,Q99727,TIMP metallopeptidase inhibitor 4,Enzyme modulator,108,0.559,0.769,0.00038342,0.01,,0,1,0,2013,2013
Autism Spectrum Disorders,C1510586,TLR4,7099,O00206,toll like receptor 4,,1174,0.321,0.962,4.6131E-09,0.01,,0,1,0,2017,2017
Autism Spectrum Disorders,C1510586,TM7SF2,7108,O76062,transmembrane 7 superfamily member 2,Enzyme,217,0.486,0.808,1.366E-07,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,CLDN5,7122,O00501,claudin 5,Cell-cell junction,104,0.559,0.769,0.89512,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,TNFRSF1A,7132,P19438,TNF receptor superfamily member 1A,,487,0.409,0.923,0.9949,0.01,,1,1,1,2013,2013
Autism Spectrum Disorders,C1510586,TOP1,7150,P11387,DNA topoisomerase I,Enzyme,143,0.542,0.692,1,0.01,,1,1,0,2013,2013
Autism Spectrum Disorders,C1510586,TPH1,7166,P17752,tryptophan hydroxylase 1,,127,0.553,0.731,3.1872E-07,0.01,,1,1,0,2011,2011
Autism Spectrum Disorders,C1510586,CRISP2,7180,P16562,cysteine rich secretory protein 2,Immune response,168,0.512,0.769,1.4437E-12,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,TRH,7200,P20396,thyrotropin releasing hormone,,230,0.519,0.846,0.00089084,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,TRHR,7201,P34981,thyrotropin releasing hormone receptor,G-protein coupled receptor,35,0.695,0.308,0.2711,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,TRIO,7204,O75962,trio Rho guanine nucleotide exchange factor,Kinase,143,0.556,0.731,1,0.01,,1,1,0,2015,2015
Autism Spectrum Disorders,C1510586,TRPC5,7224,Q9UL62,transient receptor potential cation channel subfamily C member 5,Ion channel,58,0.653,0.615,0.99973,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,TRPC6,7225,Q9Y210,transient receptor potential cation channel subfamily C member 6,Ion channel,166,0.514,0.692,3.0274E-07,0.01,,1,1,0,2015,2015
Autism Spectrum Disorders,C1510586,TRPM2,7226,O94759,transient receptor potential cation channel subfamily M member 2,Ion channel,133,0.546,0.731,8.9633E-44,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,MIR656,724026,,microRNA 656,,15,0.743,0.154,,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,TSNAX,7257,Q99598,translin associated factor X,,19,0.76,0.192,0.48922,0.01,,1,1,0,2009,2009
Autism Spectrum Disorders,C1510586,OPN1MW2,728458,P04001;P0DN77;P0DN78,"opsin 1, medium wave sensitive 2",,80,0.601,0.769,0.24464,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,TWIST1,7291,Q15672,twist family bHLH transcription factor 1,Transcription factor,559,0.397,0.846,0.34491,0.01,,1,1,0,2008,2008
Autism Spectrum Disorders,C1510586,UCP3,7352,P55916,uncoupling protein 3,Transporter,66,0.619,0.577,9.5517E-10,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,UROD,7389,P06132,uroporphyrinogen decarboxylase,,166,0.521,0.769,1.2563E-08,0.01,,1,1,0,2008,2008
Autism Spectrum Disorders,C1510586,VCP,7415,P55072,valosin containing protein,,376,0.469,0.923,0.99999,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,0.000024085,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,VIP,7432,P01282,vasoactive intestinal peptide,Signaling,376,0.437,0.846,0.00041995,0.01,,1,1,0,2013,2013
Autism Spectrum Disorders,C1510586,WT1,7490,P19544,WT1 transcription factor,Nucleic acid binding,446,0.422,0.808,0.99648,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,XPO1,7514,O14980,exportin 1,Receptor,178,0.504,0.692,1,0.01,,0,1,1,2011,2011
Autism Spectrum Disorders,C1510586,XRCC4,7518,Q13426,X-ray repair cross complementing 4,,192,0.528,0.769,8.2774E-07,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,YWHAE,7531,P62258,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,Chaperone,176,0.53,0.692,0.98479,0.01,,1,1,0,2012,2012
Autism Spectrum Disorders,C1510586,ZIC2,7546,O95409,Zic family member 2,Transcription factor,125,0.556,0.769,0.97362,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,CACNA1A,773,O00555,calcium voltage-gated channel subunit alpha1 A,Ion channel,320,0.489,0.769,1,0.01,,1,1,0,2015,2015
Autism Spectrum Disorders,C1510586,CACNA1B,774,Q00975,calcium voltage-gated channel subunit alpha1 B,Ion channel,79,0.65,0.577,0.99998,0.01,,1,1,0,2010,2010
Autism Spectrum Disorders,C1510586,CACNB2,783,Q08289,calcium voltage-gated channel auxiliary subunit beta 2,Ion channel,56,0.659,0.538,2.6719E-06,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,SEMA3B,7869,Q13214,semaphorin 3B,Signaling,57,0.633,0.615,,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,CAD,790,P27708,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",Enzyme,249,0.482,0.846,0.99993,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,GGCT,79017,O75223,gamma-glutamylcyclotransferase,,108,0.552,0.808,0.000143,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,MBOAT7,79143,Q96N66,membrane bound O-acyltransferase domain containing 7,Enzyme,83,0.612,0.5,0.113,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,FA2H,79152,Q7L5A8,fatty acid 2-hydroxylase,Enzyme,131,0.573,0.654,0.14678,0.01,,0,1,0,2013,2013
Autism Spectrum Disorders,C1510586,CALB2,794,P22676,calbindin 2,Calcium-binding protein,124,0.545,0.692,4.5423E-07,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,SLC52A2,79581,Q9HAB3,solute carrier family 52 member 2,Transporter,261,0.483,0.808,0.0024777,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,CARS2,79587,Q9HA77,"cysteinyl-tRNA synthetase 2, mitochondrial",Enzyme,49,0.7,0.423,9.5929E-08,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,AIMP2,7965,Q13155,aminoacyl tRNA synthetase complex interacting multifunctional protein 2,,555,0.393,0.923,0.008024,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,MSANTD2,79684,Q6P1R3,Myb/SANT DNA binding domain containing 2,,2,1,0.038,0.90277,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,FBXO31,79791,Q5XUX0,F-box protein 31,,66,0.653,0.423,0.44439,0.01,,1,1,0,2013,2013
Autism Spectrum Disorders,C1510586,RBFA,79863,Q8N0V3,ribosome binding factor A,,1,1,0.038,0.000095095,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,RABEP2,79874,Q9H5N1,"rabaptin, RAB GTPase binding effector protein 2",,36,0.682,0.654,0.0011388,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,CNTNAP3,79937,Q9BZ76,contactin associated protein family member 3,,5,0.861,0.192,1.7092E-11,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,NAA15,80155,Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Enzyme,43,0.7,0.423,0.99578,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,FUZ,80199,Q9BT04,fuzzy planar cell polarity protein,,75,0.597,0.731,0.000012613,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,STAM,8027,Q92783,signal transducing adaptor molecule,,20,0.736,0.269,0.85048,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,CPEB4,80315,Q17RY0,cytoplasmic polyadenylation element binding protein 4,Nucleic acid binding,70,0.621,0.462,0.98555,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,PPP1R2C,80316,O14990,PPP1R2C family member C,Enzyme modulator,231,0.478,0.846,,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,FOSL1,8061,P15407,"FOS like 1, AP-1 transcription factor subunit",Transcription factor,150,0.519,0.846,0.15849,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,ASXL3,80816,Q9C0F0,ASXL transcriptional regulator 3,,149,0.59,0.577,1,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,ACTN4,81,O43707,actinin alpha 4,,166,0.508,0.808,1,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,GAN,8139,Q9H2C0,gigaxonin,,71,0.674,0.5,0.024842,0.01,,1,1,0,2012,2012
Autism Spectrum Disorders,C1510586,SLC38A1,81539,Q9H2H9,solute carrier family 38 member 1,Transporter,64,0.615,0.769,0.93067,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,PLA2G12A,81579,Q9BZM1,phospholipase A2 group XIIA,,9,0.805,0.192,0.00037886,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,MAP1LC3B,81631,Q9GZQ8,microtubule associated protein 1 light chain 3 beta,Cellular structure,167,0.506,0.846,0.0019065,0.01,,1,1,0,2013,2013
Autism Spectrum Disorders,C1510586,MIA,8190,Q16674,MIA SH3 domain containing,,130,0.537,0.769,0.000017345,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,NRIP1,8204,P48552,nuclear receptor interacting protein 1,,88,0.592,0.654,0.99394,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,DGCR6,8214,Q14129,DiGeorge syndrome critical region gene 6,,38,0.695,0.5,9.8176E-12,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,CAPG,822,P40121,"capping actin protein, gelsolin like",Cellular structure,111,0.548,0.731,9.357E-14,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,TMEM187,8269,Q14656,transmembrane protein 187,,8,0.839,0.231,0.015717,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,CASP1,834,P29466,caspase 1,Enzyme,444,0.413,0.885,0.000035183,0.01,,1,1,0,2012,2012
Autism Spectrum Disorders,C1510586,KATNAL2,83473,Q8IYT4,katanin catalytic subunit A1 like 2,Cellular structure,7,0.89,0.038,1.1784E-06,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,ARHGAP24,83478,Q8N264,Rho GTPase activating protein 24,,273,0.456,0.808,3.9495E-10,0.01,,1,1,0,2013,2013
Autism Spectrum Disorders,C1510586,TTC25,83538,Q96NG3,tetratricopeptide repeat domain 25,,44,0.674,0.538,,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,KLF16,83855,Q9BXK1,Kruppel like factor 16,Nucleic acid binding,18,0.792,0.154,0.19517,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,CASP7,840,P55210,caspase 7,Enzyme,83,0.581,0.654,0.000053589,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,PPP1R1B,84152,Q9UD71,protein phosphatase 1 regulatory inhibitor subunit 1B,Enzyme modulator,82,0.617,0.5,0.24098,0.01,,1,1,0,2012,2012
Autism Spectrum Disorders,C1510586,SLF1,84250,Q9BQI6,SMC5-SMC6 complex localization factor 1,,2,1,0.038,5.8495E-10,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,SYVN1,84447,Q86TM6,synoviolin 1,,79,0.599,0.731,0.9997,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,CUL3,8452,Q13618,cullin 3,,83,0.592,0.654,0.9996,0.01,,1,1,0,2020,2020
Autism Spectrum Disorders,C1510586,SRRM4,84530,A7MD48,serine/arginine repetitive matrix 4,,23,0.736,0.231,0.46456,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,TMEM185A,84548,Q8NFB2,transmembrane protein 185A,,7,0.839,0.192,0.016569,0.01,,1,1,0,1996,1996
Autism Spectrum Disorders,C1510586,FOXN1,8456,O15353,forkhead box N1,,60,0.615,0.654,0.94214,0.01,,1,1,0,2015,2015
Autism Spectrum Disorders,C1510586,SPZ1,84654,Q9BXG8,spermatogenic leucine zipper 1,,173,0.507,0.769,,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,HAVCR2,84868,Q8TDQ0,hepatitis A virus cellular receptor 2,,299,0.45,0.808,0.03866,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,SLC7A3,84889,Q8WY07,solute carrier family 7 member 3,Transporter,9,0.821,0.154,0.99614,0.01,,1,1,0,2015,2015
Autism Spectrum Disorders,C1510586,CNTNAP4,85445,Q9C0A0,contactin associated protein family member 4,,11,0.839,0.192,7.7552E-07,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,MKNK1,8569,Q9BUB5,MAPK interacting serine/threonine kinase 1,Kinase,73,0.606,0.808,8.0483E-10,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,PLA2G4C,8605,Q9UP65,phospholipase A2 group IVC,Enzyme,24,0.705,0.385,1.6781E-13,0.01,,1,1,1,2016,2016
Autism Spectrum Disorders,C1510586,STX16,8675,O14662,syntaxin 16,Transporter,58,0.656,0.538,0.48261,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,MPDZ,8777,O75970,multiple PDZ domain crumbs cell polarity complex component,,71,0.638,0.5,5.8009E-38,0.01,,1,1,0,2015,2015
Autism Spectrum Disorders,C1510586,NR1I2,8856,O75469,nuclear receptor subfamily 1 group I member 2,Nuclear receptor,462,0.418,0.846,7.2668E-09,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,ARHGEF7,8874,Q14155,Rho guanine nucleotide exchange factor 7,,215,0.486,0.846,0.99995,0.01,,0,1,0,2019,2019
Autism Spectrum Disorders,C1510586,CACNA1G,8913,O43497,calcium voltage-gated channel subunit alpha1 G,Ion channel,111,0.59,0.577,1,0.01,,1,1,0,2010,2010
Autism Spectrum Disorders,C1510586,HERC2,8924,O95714,HECT and RLD domain containing E3 ubiquitin protein ligase 2,,143,0.568,0.692,1,0.01,,1,1,0,2012,2012
Autism Spectrum Disorders,C1510586,HERC1,8925,Q15751,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,Enzyme modulator,57,0.674,0.5,1,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,WASF1,8936,Q92558,WASP family member 1,Cellular structure,132,0.547,0.808,0.99757,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,ARTN,9048,Q5T4W7,artemin,Signaling,248,0.48,0.846,0.35793,0.01,,1,1,0,2014,2014
Autism Spectrum Disorders,C1510586,CLDN12,9069,P56749,claudin 12,,19,0.736,0.308,0.048525,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,AIFM1,9131,O95831,apoptosis inducing factor mitochondria associated 1,Enzyme,205,0.527,0.769,0.99795,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,UBXN11,91544,Q5T124,UBX domain protein 11,,41,0.659,0.538,1.3973E-13,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,LPAR2,9170,Q9HBW0,lysophosphatidic acid receptor 2,G-protein coupled receptor,285,0.463,0.846,0.036658,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,SLC16A7,9194,O60669,solute carrier family 16 member 7,Transporter,39,0.682,0.538,0.0058162,0.01,,1,1,0,2013,2013
Autism Spectrum Disorders,C1510586,SLC33A1,9197,O00400,solute carrier family 33 member 1,Transporter,170,0.529,0.769,0.000098902,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,MSC,9242,O60682,musculin,,241,0.475,0.846,0.024651,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,CER1,9350,O95813,"cerberus 1, DAN family BMP antagonist",,11,0.792,0.269,0.000016674,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,COX5A,9377,P20674,cytochrome c oxidase subunit 5A,Enzyme,171,0.515,0.846,0.49407,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,GRAP2,9402,O75791,GRB2 related adaptor protein 2,,538,0.394,0.923,0.00015256,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,SYTL4,94121,Q96C24,synaptotagmin like 4,,6,0.861,0.115,0.014122,0.01,,1,1,1,2019,2019
Autism Spectrum Disorders,C1510586,FADS2,9415,O95864,fatty acid desaturase 2,,140,0.575,0.692,0.99815,0.01,,1,1,1,2018,2018
Autism Spectrum Disorders,C1510586,AIM2,9447,O14862,absent in melanoma 2,,167,0.521,0.769,2.1942E-09,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,PTGES,9536,O14684,prostaglandin E synthase,,150,0.54,0.769,0.71317,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,CD40,958,P25942,CD40 molecule,,528,0.396,0.846,0.84603,0.01,,0,1,0,2019,2019
Autism Spectrum Disorders,C1510586,NCOR1,9611,O75376,nuclear receptor corepressor 1,Transcription factor,94,0.597,0.731,1,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,IQCB1,9657,Q15051,IQ motif containing B1,,69,0.641,0.654,1.3581E-12,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,DEPDC5,9681,O75140,"DEP domain containing 5, GATOR1 subcomplex subunit",Nucleic acid binding,59,0.631,0.538,0.1165,0.01,,1,1,0,2017,2017
Autism Spectrum Disorders,C1510586,NOS1AP,9722,O75052,nitric oxide synthase 1 adaptor protein,Signaling,85,0.608,0.423,0.61424,0.01,,1,1,2,2010,2010
Autism Spectrum Disorders,C1510586,CD79A,973,P11912,CD79a molecule,Receptor,134,0.536,0.731,0.69226,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,DOCK4,9732,Q8N1I0,dedicator of cytokinesis 4,,39,0.666,0.423,0.82562,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,HDAC4,9759,P56524,histone deacetylase 4,Epigenetic regulator,256,0.484,0.885,1,0.01,,0,1,0,2016,2016
Autism Spectrum Disorders,C1510586,BMS1,9790,Q14692,BMS1 ribosome biogenesis factor,,192,0.499,0.846,0.0001753,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,KIAA0319,9856,Q5VV43,KIAA0319,,24,0.729,0.385,3.3234E-20,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,SETDB1,9869,Q15047,SET domain bifurcated histone lysine methyltransferase 1,,56,0.631,0.654,1,0.01,,1,1,0,2016,2016
Autism Spectrum Disorders,C1510586,TLK1,9874,Q9UKI8,tousled like kinase 1,Kinase,53,0.641,0.577,0.99999,0.01,,1,1,0,2019,2019
Autism Spectrum Disorders,C1510586,NUAK1,9891,O60285,NUAK family kinase 1,Kinase,61,0.621,0.577,0.098693,0.01,,1,1,0,2018,2018
Autism Spectrum Disorders,C1510586,ARNT2,9915,Q9HBZ2,aryl hydrocarbon receptor nuclear translocator 2,Transcription factor,89,0.599,0.731,0.99142,0.01,,1,1,0,2014,2014
Major Depressive Disorder,C1269683,CACNA1C,775,Q13936,calcium voltage-gated channel subunit alpha1 C,Ion channel,225,0.51,0.846,1,0.7,,1,22,22,2010,2019
Major Depressive Disorder,C1269683,TPH2,121278,Q8IWU9,tryptophan hydroxylase 2,,137,0.546,0.654,2.5364E-07,0.6,,0.8,33,6,2004,2019
Major Depressive Disorder,C1269683,CRHR1,1394,P34998,corticotropin releasing hormone receptor 1,,183,0.517,0.769,0.000037856,0.6,,1,15,10,2006,2019
Major Depressive Disorder,C1269683,FKBP5,2289,Q13451,FKBP prolyl isomerase 5,Enzyme,179,0.524,0.769,0.73393,0.6,,0.8,29,5,2009,2020
Major Depressive Disorder,C1269683,HTR2A,3356,P28223,5-hydroxytryptamine receptor 2A,G-protein coupled receptor,289,0.473,0.846,0.51124,0.6,,1,41,5,2000,2019
Major Depressive Disorder,C1269683,SLC6A4,6532,P31645,solute carrier family 6 member 4,Transporter,440,0.429,0.808,0.24602,0.6,,0.8,149,2,1998,2020
Major Depressive Disorder,C1269683,GAD1,2571,Q99259,glutamate decarboxylase 1,Enzyme,245,0.486,0.885,0.046164,0.53,,1,6,0,2005,2014
Major Depressive Disorder,C1269683,FREM3,166752,P0C091,FRAS1 related extracellular matrix 3,,9,0.805,0.269,1.5219E-19,0.51,,1,2,0,2012,2015
Major Depressive Disorder,C1269683,CAT,847,P04040,catalase,Enzyme,794,0.359,0.962,1.6263E-10,0.51,,1,2,0,2011,2014
Major Depressive Disorder,C1269683,CYP2D6,1565,P10635,cytochrome P450 family 2 subfamily D member 6,,432,0.437,0.885,1.0793E-25,0.5,,1,12,2,2004,2019
Major Depressive Disorder,C1269683,EDN1,1906,P05305,endothelin 1,Signaling,679,0.38,0.846,0.45504,0.5,,0.5,1,0,2010,2018
Major Depressive Disorder,C1269683,PCLO,27445,Q9Y6V0,piccolo presynaptic cytomatrix protein,,59,0.656,0.577,1,0.5,,1,13,6,2009,2019
Major Depressive Disorder,C1269683,RELN,5649,P78509,reelin,,178,0.515,0.731,1,0.5,,1,3,0,2000,2013
Major Depressive Disorder,C1269683,GALR2,8811,O43603,galanin receptor 2,G-protein coupled receptor,41,0.653,0.615,6.3829E-06,0.5,,1,2,0,2011,2016
Major Depressive Disorder,C1269683,DRD2,1813,P14416,dopamine receptor D2,G-protein coupled receptor,437,0.436,0.846,0.74709,0.49,,0.8,11,3,1998,2019
Major Depressive Disorder,C1269683,GRM5,2915,P41594,glutamate metabotropic receptor 5,G-protein coupled receptor,189,0.525,0.846,0.99872,0.49,,1,13,4,2010,2019
Major Depressive Disorder,C1269683,GRM7,2917,Q14831,glutamate metabotropic receptor 7,G-protein coupled receptor,77,0.628,0.538,0.99896,0.49,,0.8,11,4,2010,2019
Major Depressive Disorder,C1269683,ESR2,2100,Q92731,estrogen receptor 2,Nuclear receptor,528,0.4,0.923,4.4516E-08,0.43,,1,5,4,2007,2019
Major Depressive Disorder,C1269683,CHRM3,1131,P20309,cholinergic receptor muscarinic 3,G-protein coupled receptor,284,0.464,0.885,0.99253,0.41,,0.5,2,1,2013,2019
Major Depressive Disorder,C1269683,PLCB1,23236,Q9NQ66,phospholipase C beta 1,Enzyme,107,0.595,0.654,0.98337,0.41,,1,2,1,2012,2015
Major Depressive Disorder,C1269683,ITIH1,3697,P19827,inter-alpha-trypsin inhibitor heavy chain 1,Enzyme modulator,38,0.691,0.462,2.0755E-31,0.41,,1,2,6,2013,2014
