Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
"caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)",CASP1,834,metabolic enzyme,other neurodegenerative,,,,Casp1,no mouse data,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,,,,,Cysteine protease,Proteolysis;Apoptosis,
"caspase 3, apoptosis-related cysteine peptidase",CASP3,836,metabolic enzyme,Alzheimer,protein evolution,,,Casp3,h Down,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+++,ubiquitous,,,Cysteine protease,Proteolysis;Apoptosis,Huntington disease->Caspase 3;;FAS signaling pathway->Caspase 3;;Apoptosis signaling pathway->Caspase 3;;FAS signaling pathway->Pro-Caspase3;;;;;
"caspase 7, apoptosis-related cysteine peptidase",CASP7,840,metabolic enzyme,other neurodegenerative,,,,Casp7,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Cysteine protease,Proteolysis;Apoptosis,FAS signaling pathway->Caspase 7;;Apoptosis signaling pathway->Caspase 7;;FAS signaling pathway->Pro-Caspase7;;;;
"caspase 8, apoptosis-related cysteine peptidase",CASP8,841,metabolic enzyme,other neurodegenerative,,,,Casp8,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,sparse to none,,,Cysteine protease,Proteolysis;Apoptosis,FAS signaling pathway->Pro-Caspase8;;Huntington disease->Pro-caspase 8;;Apoptosis signaling pathway->Caspase 8;;FAS signaling pathway->Caspase 8;;Huntington disease->Caspase 8;;;;;;
cerebellin 2 precursor,CBLN2,147381,other membrane protein,,,layer 2/3/6,layer 2/3/6,Cbln2,,,,hT-mT,,,V1 ≠ TEa,,laminar,high,++++,"layer 2/3,(5)/6",++++,"layer 2/3,6",++++,"layer 2/3,6",++++,"layer 2/3,6",++++,"scattered (2/3,6s)",Neuropeptide,Other neuronal activity;Homeostasis,
coiled-coil and C2 domain containing 1A ,CC2D1A,54862,transcription factor,mental retardation,,,,Cc2d1a,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,+++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
coiled-coil domain containing 141,CCDC141,285025,cytoskeletal protein,schizophrenia,,,,2610301F02Rik,no mouse data,,no mouse data,,,,,,ND,low,-,none,-,none,-,none,,,+,sparse to none,Actin binding cytoskeletal protein,Muscle contraction,
cholecystokinin,CCK,885,peptide ligand,anxiety,,layer 2/3/6,layer 2/3/5/6,Cck,,,,,,,,,laminar,high,+++++,"layer 1,2/3,5/6",+++++,"layer 1,2/3,5,6",+++++,"layer 1,2/3,5,6",+++++,"layer 2/3,5d,6",+++++,"layer 2/3,5d,6",Peptide hormone,Ligand-mediated signaling;Muscle contraction,
cholecystokinin A receptor  ,CCKAR,886,GPCR,,,,,Cckar,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,++,"layer 2/3,5,6",++,"layer 2/3,5,6",G-protein coupled receptor,G-protein mediated signaling;Neuronal activities,
cholecystokinin B receptor  ,CCKBR,887,GPCR,,,,,Cckbr,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+++,ubiquitous,+++,ubiquitous,G-protein coupled receptor,G-protein mediated signaling;Neuronal activities,
"cadherin 13, H-cadherin (heart)",CDH13,1012,cell adhesion,,,interneuron/layer2/5,interneuron/layer2,Cdh13,,,,,,,V1 ≠ TEa,,scattered,high,+++++,scattered,+++++,scattered,+++++,scattered,+++++,"scattered+layer 2,5,6",+++++,"layer 2/3(4,5,6)",Cadherin,Cell adhesion-mediated signaling;Cell adhesion;Oncogenesis,Wnt signaling pathway->Cadherin;;Cadherin signaling pathway->Cadherin;;;
cadherin-like 24,CDH24,64403,cell adhesion,,,layer 6,layer 6,Cdh24,,,,hT-mT,17 ≠ 18,no,V1 ≠ TEa,,laminar,high,++++,layer 6,++++,layer 6,++++,layer 6,++++,"layer(5),6",++++,layer 6+scattered,Cadherin,Cell adhesion-mediated signaling;Cell adhesion,Wnt signaling pathway->Cadherin;;Cadherin signaling pathway->Cadherin;;;
"cadherin 7, type 2",CDH7,1005,cell adhesion,,,interneuron,interneuron,Cdh7,,,,,18 ≠ 21,,V1 ≠ TEa,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,++++,scattered(5),++++,scattered(5)+layer 2/3,Cadherin,Cell adhesion-mediated signaling;Cell adhesion,Wnt signaling pathway->Cadherin;;Cadherin signaling pathway->Cadherin;;;
cyclin-dependent kinase 5,CDK5,1020,kinase,other neurodegenerative,,,,Cdk5,,,,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Non-receptor serine/threonine protein kinase,Protein phosphorylation;Cell cycle control;Mitosis,Axon guidance mediated by semaphorins->Cyclin-dependent kinase 5;;Dopamine receptor mediated signaling pathway->cyclin-dependent kinase 5;;;
"cyclin-dependent kinase 5, regulatory subunit 1 (p35)",CDK5R1,8851,signal transduction,other neurodegenerative,,,,Cdk5r1,,,,,,,,,widespread,high,++++,"ubiquitous(2/3,5/6)",++++,"ubiquitous(2/3,5,6)",++++,"ubiquitous(2/3,5,6)",+++,ubiquitous,+++,ubiquitous,Kinase activator,Protein phosphorylation;Cell cycle control,
"cyclin-dependent kinase 5, regulatory subunit 2 (p39)",CDK5R2,8941,signal transduction,other neurodegenerative,,,,Cdk5r2,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++++,ubiquitous,,,Kinase activator,Protein phosphorylation;Cell cycle control,
CDK5 regulatory subunit associated protein 1,CDK5RAP1,51654,signal transduction,,,,,Cdk5rap1,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
CDK5 regulatory subunit associated protein 2,CDK5RAP2,55755,signal transduction,microcephaly,microcephaly,,,Cdk5rap2,,,no mouse coronal data,,,,,,scattered,medium,+++,scattered,+++,scattered,,,++,ubiquitous,,,Molecular function unclassified,Protein targeting and localization;Neurogenesis;Mitosis,
CDK5 regulatory subunit associated protein 3,CDK5RAP3,80279,signal transduction,,,,,Cdk5rap3,,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,+++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
cyclin-dependent kinase-like 5,CDKL5,6792,kinase,epilepsy,,,,Cdkl5,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"ubiquitous(2/3,4C,5/6)",+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Non-receptor serine/threonine protein kinase,Protein phosphorylation;Cell cycle control;Mitosis,
centromere protein J,CENPJ,55835,cytoskeletal protein,microcephaly,microcephaly,,,Cenpj,,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,,,++,ubiquitous,,,Molecular function unclassified,Spermatogenesis and motility,
centrosomal protein 290kDa,CEP290,80184,other nuclear protein,autism,,,,Cep290,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
ceramide kinase,CERK,64781,kinase,,,interneuron,interneuron,Cerk,,,,,,,,,scattered,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++,scattered+ubiquitous,++++,scattered,+,scattered,Carbohydrate kinase;Other kinase,Other signal transduction,
"Cripto, FRL-1, cryptic family 1 ",CFC1,55997,signal transduction,,HLS: (IMAGE clone ID)328821,,,Cfc1,h Up,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+,ubiquitous,,,Other select calcium binding proteins,Cell motility,
"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",CFTR,1080,transporter,,,,,Cftr,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,sparse to none,,,Anion channel,Ion transport,
CHK1 checkpoint homolog (S. pombe),CHEK1,1111,kinase,microcephaly,,,,Chek1,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Non-receptor serine/threonine protein kinase,Protein phosphorylation;Intracellular signaling cascade;Stress response;Meiosis;Cell cycle control;Oncogenesis,
"cholinergic receptor, muscarinic 1",CHRM1,1128,GPCR,Schizophrenia,,,,Chrm1,,,,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,G-protein coupled receptor,G-protein mediated signaling;Neurotransmitter release,Muscarinic acetylcholine receptor 1 and 3 signaling pathway->mAChR1/3;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Alzheimer disease-amyloid secretase pathway->Muscarinic acetylcholine receptors;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Gq-protein coupled receptor;;;;;;
"cholinergic receptor, muscarinic 2",CHRM2,1129,GPCR,depression,,,,Chrm2,,,,,17 ≠ 18,yes,,,laminar,high,++++,"layer 4C,(5/6)",+++,scattered(5/6),+++,scattered(5/6),++++,"layer 3,4,5d,6",++++,"scattered+ubiqitous(5,6)",G-protein coupled receptor,G-protein mediated signaling;Neurotransmitter release,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Alzheimer disease-amyloid secretase pathway->Muscarinic acetylcholine receptors;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->mAChR2/4;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Gq-protein coupled receptor;;;;;;
"cholinergic receptor, muscarinic 3",CHRM3,1131,GPCR,,,,,Chrm3,,,,,17 ≠ 18,yes,,,laminar,medium,+++,"layer 2/3,4C,5/6",+++,"layer 2/3,5,6",+++,"layer 2/3,5,6",+++++,"layer 2/3,5d,6",+++++,"layer 2/3,5d,6",G-protein coupled receptor,G-protein mediated signaling;Neurotransmitter release,Muscarinic acetylcholine receptor 1 and 3 signaling pathway->mAChR1/3;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Alzheimer disease-amyloid secretase pathway->Muscarinic acetylcholine receptors;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Gq-protein coupled receptor;;;;;;
"cholinergic receptor, muscarinic 4",CHRM4,1132,GPCR,,,,,Chrm4,,,no human 21 data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,++++,ubiquitous,,,G-protein coupled receptor,G-protein mediated signaling;Neurotransmitter release,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Alzheimer disease-amyloid secretase pathway->Muscarinic acetylcholine receptors;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->mAChR2/4;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Gq-protein coupled receptor;;;;;;
"cholinergic receptor, muscarinic 5",CHRM5,1133,GPCR,,protein evolution,,,Chrm5,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,ubiquitous,G-protein coupled receptor,G-protein mediated signaling;Neurotransmitter release,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Alzheimer disease-amyloid secretase pathway->Muscarinic acetylcholine receptors;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Gq-protein coupled receptor;;;;;
"cholinergic receptor, nicotinic, alpha 10",CHRNA10,57053,ion channel,,,,,Chrna10,no mouse data,,no mouse data,,,,,,ND,low,-,none,-,none,,,,,,,Acetylcholine receptor;Ion channel,Cation transport;Nerve-nerve synaptic transmission;Cell proliferation and differentiation,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;;
"cholinergic receptor, nicotinic, alpha 3",CHRNA3,1136,ion channel,Alzheimer,,,layer 4c,Chrna3,,,,,17 ≠ 18,yes,,,laminar,medium,+++,layer 4C,+,sparse to none,+,sparse to none,-,none,-,none,Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission;Sensory perception,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;;
"cholinergic receptor, nicotinic, alpha 4 ",CHRNA4,1137,ion channel,epilepsy,,layer 5/6,,Chrna4,,,,,,,,,laminar,medium,+++,"ubiquitous(5,6)",+++,ubiquitous,+++,ubiquitous,++++,"layer 5,6",++++,"layer 5,6",Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission;Sensory perception,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;;
"cholinergic receptor, nicotinic, alpha 5",CHRNA5,1138,ion channel,,protein evolution,,,Chrna5,,,,,,,,,sparse,medium,++,sparse,++,sparse,++,sparse,+++,sparse(6b),+++,sparse(6b),Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;;
"cholinergic receptor, nicotinic, alpha 6",CHRNA6,8973,ion channel,,,,,Chrna6,,,,,,,,,ND,low,+,sparse to none,+,ubiquitous,+++,layer 2/3,++++,sparse(5),+,sparse to none,Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission;Sensory perception,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;;
"cholinergic receptor, nicotinic, alpha 7 ",CHRNA7,1139,ion channel,schizophrenia,,interneuron/layer1,interneuron/layer1/2,Chrna7,,,,,18 ≠ 21,,,diff,laminar,medium,+++,sparse(1)+layer 2/3,+++,sparse(1)+layer 2/3,+++,sparse(1)+layer 2/3,+++++,sparse(1+),+++++,sparse,Acetylcholine receptor;Ion channel,Cation transport,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;Alzheimer disease-amyloid secretase pathway->alpha7 nicotinic acetylcholine receptor;;;;
"cholinergic receptor, nicotinic, alpha 9",CHRNA9,55584,ion channel,,,,,Chrna9,,,,,,,,,ND,low,-,none,-,none,-,none,+,sparse to none,+,sparse to none,Acetylcholine receptor;Ion channel,Cation transport;Nerve-nerve synaptic transmission;Cell proliferation and differentiation,Nicotinic acetylcholine receptor signaling pathway->nicotinic Acetylcholine Receptor alpha;;Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;;
"cholinergic receptor, nicotinic, beta 2 (neuronal) ",CHRNB2,1141,ion channel,epilepsy,,,,Chrnb2,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,++,ubiquitous(5),++,ubiquitous(5),Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission;Sensory perception,"Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;Nicotinic acetylcholine receptor signaling pathway->Acetylcholine receptor protein, beta;;;"
"cholinergic receptor, nicotinic, beta 3",CHRNB3,1142,ion channel,,,,,Chrnb3,,,,,,,,diff,sparse,medium,++,sparse,++,sparse,++,sparse,+++,sparse(5),+++,sparse(5),Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission,Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;
"cholinergic receptor, nicotinic, beta 4",CHRNB4,1143,ion channel,,,,,Chrnb4,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,-,none,,,Acetylcholine receptor;Ion channel,Cell communication;Cation transport;Nerve-nerve synaptic transmission;Sensory perception,"Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;Nicotinic acetylcholine receptor signaling pathway->Acetylcholine receptor protein, beta;;;"
"cholinergic receptor, nicotinic, delta  ",CHRND,1144,ion channel,,,,,Chrnd,,,,,,,,,ND,low,-,none,-,none,-,none,+,ubiquitous,+,ubiquitous,Acetylcholine receptor;Ion channel;Cation transporter,Cell communication;Cation transport;Neuromuscular synaptic transmission;Muscle contraction,"Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;Nicotinic acetylcholine receptor signaling pathway->Acetylcholine receptor protein, delta;;;"
"cholinergic receptor, nicotinic, epsilon",CHRNE,1145,ion channel,,,,,Chrne,,,,,,,,,ND,low,-,none,-,none,-,none,+,sparse to none,+,sparse to none,Acetylcholine receptor;Ion channel;Cation transporter,Cell communication;Cation transport;Neuromuscular synaptic transmission;Muscle contraction,Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;
"cholinergic receptor, nicotinic, gamma",CHRNG,1146,ion channel,,,,,Chrng,,,,,,,,,ND,low,-,none,-,none,-,none,+,sparse to none,+,sparse to none,Acetylcholine receptor;Ion channel;Cation transporter,Cell communication;Cation transport;Neuromuscular synaptic transmission;Muscle contraction,"Nicotinic acetylcholine receptor signaling pathway->Nicotinic Acetylcholine Receptor;;Nicotinic acetylcholine receptor signaling pathway->Acetylcholine receptor protein, gamma;;;"
"citron (rho-interacting, serine/threonine kinase 21)",CIT,11113,kinase,schizophrenia,,,,Cit,,,,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Non-receptor serine/threonine protein kinase,Protein phosphorylation;Other intracellular signaling cascade;Neurogenesis;Cytokinesis;Cell structure and motility,
"chloride channel, calcium activated, family member 1",CLCA1,1179,ion channel,,positive selection,,,Clca1,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,Ion channel,Miscellaneous,
"chloride channel, calcium activated, family member 2",CLCA2,9635,ion channel,,,,,Clca2,,,,,,,,,ND,low,-,none,-,none,-,none,+,ubiquitous,+,ubiquitous,Ion channel,Miscellaneous,
chloride channel accessory 3 (pseudogene),CLCA3P,9629,ion channel,,,,,Clca3,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Ion channel,Miscellaneous,
"chloride channel, calcium activated, family member 4",CLCA4,22802,ion channel,,positive selection,,,Clca4,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Ion channel,Miscellaneous,
"chloride channel 1, skeletal muscle (Thomsen disease, autosomal dominant)",CLCN1,1180,ion channel,,,,,Clcn1,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+++,ubiquitous,,,Anion channel,Anion transport,
chloride channel 2 ,CLCN2,1181,ion channel,epilepsy,,layer 5,,Clcn2,,hV-mV,,hT-mT,,,,,scattered,high,++++,scattered,++++,scattered,++++,scattered,++++,ubiquitous(5),++++,ubiquitous(5),Anion channel,Anion transport,
chloride channel 3,CLCN3,1182,ion channel,,,,,Clcn3,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++++,ubiquitous,,,Anion channel,Anion transport,
chloride channel 4,CLCN4,1183,ion channel,,,,,Clcn4-2,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,ubiquitous,,,Anion channel,Anion transport,
"chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)",CLCN5,1184,ion channel,,,,,Clcn5,,,,,,,,,ND,low,-,none,-,none,-,none,+,sparse to none,+,sparse to none,Anion channel,Anion transport,
chloride channel 6,CLCN6,1185,ion channel,,,,,Clcn6,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Anion channel,Anion transport,
chloride channel 7,CLCN7,1186,ion channel,,,,,Clcn7,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++,ubiquitous,,,Anion channel,Anion transport,
chloride channel Ka,CLCNKA,1187,ion channel,,,,,Clcnka,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,-,none,,,Anion channel,Anion transport,
chloride channel Kb,CLCNKB,1188,ion channel,,,,,Clcnkb,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,-,none,,,Anion channel,Anion transport,
claudin 5 (transmembrane protein deleted in velocardiofacial syndrome),CLDN5,7122,other membrane protein,,,VEC,VEC,Cldn5,,,,,,,,,scattered,high,+++++,VEC,+++++,VEC,+++++,VEC,+++++,VEC,+++++,VEC,Tight junction,Cell structure,
chloride intracellular channel 1,CLIC1,1192,ion channel,,,,,Clic1,,hV-mV,,hT-mT,,,,,scattered,medium,+++,scattered+VEC,+++,scattered+VEC,+++,scattered+VEC,++++,ubiquitous,++++,ubiquitous,Anion channel,Anion transport;Other homeostasis activities,Dopamine receptor mediated signaling pathway->chloride intracellular channel 6;;
chloride intracellular channel 2,CLIC2,1193,ion channel,,,,,,no mouse ortholog,,no mouse ortholog,,,,,,ND,low,-,none,-,none,,,,,,,Anion channel,Anion transport;Other homeostasis activities,Dopamine receptor mediated signaling pathway->chloride intracellular channel 6;;
chloride intracellular channel 3,CLIC3,9022,ion channel,,,,,Clic3,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,++++,ubiquitous,,,+,sparse to none,,,Anion channel,Anion transport;Other homeostasis activities,Dopamine receptor mediated signaling pathway->chloride intracellular channel 6;;
chloride intracellular channel 4,CLIC4,25932,ion channel,,,,,Clic4,h Down,,h Down,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,+++++,scattered+oligodendrocyte,+++++,scattered+oligodendrocyte,Anion channel,Anion transport;Other homeostasis activities,Dopamine receptor mediated signaling pathway->chloride intracellular channel 6;;
chloride intracellular channel 5,CLIC5,53405,ion channel,,,layer 6b,,Clic5,h Down,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,+++,layer 6b,+++,layer 6b,Anion channel,Anion transport;Other homeostasis activities,Dopamine receptor mediated signaling pathway->chloride intracellular channel 6;;
chloride intracellular channel 6,CLIC6,54102,ion channel,,,,,Clic6,,,,,,,,,ND,low,-,none,-,none,-,none,+,sparse to none,+,sparse to none,Anion channel,Anion transport;Other homeostasis activities,Dopamine receptor mediated signaling pathway->chloride intracellular channel 6;;
"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation) ",CLN8,2055,other membrane protein,epilepsy,,,,Cln8,,,no mouse coronal data,,,,,diff,ND,low,+,ubiquitous,+,ubiquitous,,,+,sparse to none,,,Molecular function unclassified,Neuronal activities,
"chloride channel, nucleotide-sensitive, 1A",CLNS1A,1207,ion channel,,,,,Clns1a,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,++,ubiquitous,++,ubiquitous,Other transporter,Anion transport,
clock homolog (mouse),CLOCK,9575,transcription factor,bipolar,,,,Clock,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+,ubiquitous,+,ubiquitous,Basic helix-loop-helix transcription factor,mRNA transcription regulation,Circadian clock system->Clock;;
cyclic nucleotide gated channel alpha 1,CNGA1,1259,ion channel,,,,,Cnga1,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Cyclic nucleotide-gated ion channel;Ion channel,Cation transport,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction->cGMP-gated ion channel;;
cyclic nucleotide gated channel alpha 2,CNGA2,1260,ion channel,,,,,Cnga2,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Cyclic nucleotide-gated ion channel;Ion channel,Cation transport,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction->cGMP-gated ion channel;;
cyclic nucleotide gated channel alpha 4,CNGA4,1262,ion channel,,,,,Cnga4,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Cyclic nucleotide-gated ion channel;Ion channel,Cation transport,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction->cGMP-gated ion channel;;
cyclic nucleotide gated channel beta 3,CNGB3,54714,ion channel,,,,,Cngb3,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,-,none,,,Cyclic nucleotide-gated ion channel;Ion channel,Cation transport,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction->cGMP-gated ion channel;;
"2',3'-cyclic nucleotide 3' phosphodiesterase",CNP,1267,metabolic enzyme,,,oligodendrocyte,oligodendrocyte,Cnp1,,,,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,scattered+oligodendrocyte,+++++,scattered+oligodendrocyte,Phosphodiesterase,Metabolism of cyclic nucleotides,
cannabinoid receptor 1 (brain)  ,CNR1,1268,GPCR,depression,,interneuron/layer1/2/5/6,interneuron/layer1/2/6,Cnr1,,,,,,,,,laminar,high,+++++,"scattered(1,2+)",+++++,"scattered(1,2+)",+++++,"scattered(1,2+)",+++++,"scattered,layer 1,2/3,5,6",+++++,"scattered+layer 1,5,6",G-protein coupled receptor,G-protein mediated signaling;Intracellular signaling cascade;Ligand-mediated signaling,Endogenous_cannabinoid_signaling->Cannabinoid receptor 1;;
contactin associated protein-like 2 ,CNTNAP2,26047,cell adhesion,epilepsy,frontal cortex expression,,,Cntnap2,,,,,,,,,widespread,high,++++,scattered+ubiquitous,++++,scattered+ubiquitous,++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,Other receptor;Other signaling molecule;Membrane-bound signaling molecule,Cell adhesion-mediated signaling;Cell adhesion;Synaptic transmission,
contactin associated protein-like 4,CNTNAP4,85445,cell adhesion,,,interneuron,interneuron+laminar,Cntnap4,,hV-mV,,hT-mT,17 ≠ 18,no,V1 ≠ TEa,,scattered,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous (4),++++,scattered,++++,layer 6+scattered,Other receptor;Other signaling molecule;Membrane-bound signaling molecule,Cell adhesion-mediated signaling;Cell adhesion;Synaptic transmission,
